TK_Nr;DZ_Nr;DZ_Name;Land_Nr;Land_Code;Str_Kl;Str_Nr;Str_Zus;Erf_Art;Fernziel_Ri1;Nahziel_Ri1;Hi_Ri1;Fernziel_Ri2;Nahziel_Ri2;Hi_Ri2;Anz_Fs_Q;Betriebs_km;vT_MobisSo;vT_W;vT_U;vT_S;DTV_Kfz_MobisSo_Q;DTV_Kfz_MobisSo_Ri1;DTV_Kfz_MobisSo_Ri2;DTV_Kfz_W_Q;DTV_Kfz_W_Ri1;DTV_Kfz_W_Ri2;DTV_Kfz_U_Q;DTV_Kfz_U_Ri1;DTV_Kfz_U_Ri2;DTV_Kfz_S_Q;DTV_Kfz_S_Ri1;DTV_Kfz_S_Ri2;Entw_Kfz_MobisSo_Q;Entw_Kfz_W_Q;Entw_Kfz_U_Q;Entw_Kfz_S_Q;DTV_SV_MobisSo_Q;DTV_SV_MobisSo_Ri1;DTV_SV_MobisSo_Ri2;DTV_SV_W_Q;DTV_SV_W_Ri1;DTV_SV_W_Ri2;DTV_SV_U_Q;DTV_SV_U_Ri1;DTV_SV_U_Ri2;DTV_SV_S_Q;DTV_SV_S_Ri1;DTV_SV_S_Ri2;Entw_SV_MobisSo_Q;Entw_SV_W_Q;Entw_SV_U_Q;Entw_SV_S_Q;pSV_MobisSo_Q;pSV_W_Q;pSV_U_Q;pSV_S_Q;fer;bSo;bFr;Mt;pMt;Mn;pMn;Md;pMd;Me;pMe;MSV30_Kfz_MobisSo_Q;MSV30_Kfz_W_Q;MSV30_Kfz_U_Q;MSV30_Kfz_S_Q;MSV30maxRi_Kfz_MobisSo;MSV30maxRi_Kfz_W;MSV30maxRi_Kfz_U;MSV30maxRi_Kfz_S;pMSV30maxRi_Kfz_MobisSo;pMSV30maxRi_Kfz_W;pMSV30maxRi_Kfz_U;pMSV30maxRi_Kfz_S;Ri_MSV30maxRi_Kfz_MobisSo;Ri_MSV30maxRi_Kfz_W;Ri_MSV30maxRi_Kfz_U;Ri_MSV30maxRi_Kfz_S;DL_Q;DL_Ri1;DL_Ri2;JG;WG_Ri1;WG_Ri2;TG_Mo_Ri1;TGMax1_Mo_Ri1;TGMax2_Mo_Ri1;TG_Mo_Ri2;TGMax1_Mo_Ri2;TGMax2_Mo_Ri2;TG_DiMiDo_Ri1;TGMax1_DiMiDo_Ri1;TGMax2_DiMiDo_Ri1;TG_DiMiDo_Ri2;TGMax1_DiMiDo_Ri2;TGMax2_DiMiDo_Ri2;TG_Fr_Ri1;TGMax1_Fr_Ri1;TGMax2_Fr_Ri1;TG_Fr_Ri2;TGMax1_Fr_Ri2;TGMax2_Fr_Ri2;TG_Sa_Ri1;TGMax1_Sa_Ri1;TGMax2_Sa_Ri1;TG_Sa_Ri2;TGMax1_Sa_Ri2;TGMax2_Sa_Ri2;TG_SoFei_Ri1;TGMax1_SoFei_Ri1;TGMax2_SoFei_Ri1;TG_SoFei_Ri2;TGMax1_SoFei_Ri2;TGMax2_SoFei_Ri2;pPLZ_MobisSo_Q;pLfw_MobisSo_Q;pMot_MobisSo_Q;pPmA_MobisSo_Q;pLoA_MobisSo_Q;pLzg_MobisSo_Q;pSat_MobisSo_Q;pBus_MobisSo_Q;pSon_MobisSo_Q;pPLZ_W_Q;pLfw_W_Q;pMot_W_Q;pPmA_W_Q;pLoA_W_Q;pLzg_W_Q;pSat_W_Q;pBus_W_Q;pSon_W_Q;pPLZ_U_Q;pLfw_U_Q;pMot_U_Q;pPmA_U_Q;pLoA_U_Q;pLzg_U_Q;pSat_U_Q;pBus_U_Q;pSon_U_Q;pPLZ_S_Q;pLfw_S_Q;pMot_S_Q;pPmA_S_Q;pLoA_S_Q;pLzg_S_Q;pSat_S_Q;pBus_S_Q;pSon_S_Q;Koor_UTM32_E;Koor_UTM32_N;DTV_Kfz_WU_MobisFr_Q;DTV_Kfz_WU_MobisFr_Ri1;DTV_Kfz_WU_MobisFr_Ri2;DTV_SV_WU_MobisFr_Q;DTV_SV_WU_MobisFr_Ri1;DTV_SV_WU_MobisFr_Ri2;DTV_Kfz_WU_Sa_Q;DTV_Kfz_WU_Sa_Ri1;DTV_Kfz_WU_Sa_Ri2;DTV_SV_WU_Sa_Q;DTV_SV_WU_Sa_Ri1;DTV_SV_WU_Sa_Ri2;MSV30_Kfz_MobisSo_Ri1;MSV30_Kfz_MobisSo_Ri2;MSV30_Kfz_W_Ri1;MSV30_Kfz_W_Ri2;MSV30_Kfz_U_Ri1;MSV30_Kfz_U_Ri2;MSV30_Kfz_S_Ri1;MSV30_Kfz_S_Ri2;bSV30_MobisSo_Ri1;bSV30_MobisSo_Ri2;bSV30_W_Ri1;bSV30_W_Ri2;bSV30_U_Ri1;bSV30_U_Ri2;bSV30_S_Ri1;bSV30_S_Ri2;DTV_Kfz_W_MobisFr_Q;DTV_Kfz_W_MobisFr_Ri1;DTV_Kfz_W_MobisFr_Ri2;DTV_SV_W_MobisFr_Q;DTV_SV_W_MobisFr_Ri1;DTV_SV_W_MobisFr_Ri2;pSV_W_MobisFr_Q;pSV_W_MobisFr_Ri1;pSV_W_MobisFr_Ri2;Koor_WGS84_N;Koor_WGS84_E;MSV50_Kfz_MobisSo_Ri1;MSV50_Kfz_MobisSo_Ri2;pMSV50_Kfz_MobisSo_Ri1;pMSV50_Kfz_MobisSo_Ri2;bSV50_MobisSo_Ri1;bSV50_MobisSo_Ri2;bLkwK50_MobisSo_Ri1;bLkwK50_MobisSo_Ri2;pMSV50_Kfz_W_MobisFr_Ri1;pMSV50_Kfz_W_MobisFr_Ri2;DTV_Kfz_NZB_DiMiDo_Ri1;DTV_Kfz_NZB_DiMiDo_Ri2;bSo_Ri1;bSo_Ri2;bMo_Ri1;bMo_Ri2;bFr_Ri1;bFr_Ri2;bSa_Ri1;bSa_Ri2;Q_P_D;Q_L1_D;Q_L2_D;Q_K_D;Q_P_E;Q_L1_E;Q_L2_E;Q_K_E;Q_P_N;Q_L1_N;Q_L2_N;Q_K_N;Geo_Sequ;Abschnitt_Ast;Station;Ausrichtung;Maut_SID_Ri1;Maut_SID_Ri2;Anz_Fs_Ri1;Anz_Fs_Ri2;DTA_SV_Ri1;fA_SV_Ri1;qBm_SV_Ri1;B_anno_SV_Ri1;DTA_SV_Ri2;fA_SV_Ri2;qBm_SV_Ri2;B_anno_SV_Ri2;DTV_Bus_Ri1;DTV_LoA_Ri1;DTV_Lzg_Ri1;DTV_Sat_Ri1;DTV_Bus_Ri2;DTV_LoA_Ri2;DTV_Lzg_Ri2;DTV_Sat_Ri2;Anmerkungen;
4511;5100;Holzen;5;NW;A;1;;8+1;Münster;AS Schwerte;N;Köln;AK Westhofener Kreuz (A45);S;8;337,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;398.245;5.700.051;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;51,44249358;7,53585799;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;300;4511041O4511033O;2,500;Ri1_ist_NachNK;2.766;1.282;4;4;;;;;;;;;;;;;;;;;Datenprobleme in 2022;
4709;5172;Hölken;5;NW;A;1;;8+1;Dortmund;AD Wuppertal-Nord (A43/A46);N;Köln;AS Wuppertal-Langerfeld;S;6;366,4;269;161;63;45;91.811;45.677;46.134;93.432;46.557;46.875;94.319;47.123;47.197;82.627;40.588;42.038;;;;;11.563;5.882;5.681;13.884;7.055;6.830;12.100;6.172;5.928;2.219;1.139;1.080;;;;;12,6;14,9;12,8;2,7;1,01;0,90;1,10;5.143;11,2;1.190;24,3;5.574;11,9;3.850;8,5;;;;;;;;;;;;;;;;;;D;D;B;D;D;D;8;17;G;8;;E;17;;D;8;17;E;16;;C;;;D;13;;D;14;;D;18;;C;15;;85,1;9,7;0,6;1,1;3,3;9,2;7,2;0,2;1,2;82,9;10,3;0,5;1,0;3,7;11,0;8,6;0,2;1,2;84,7;10,0;0,6;1,2;3,3;9,4;7,4;0,1;1,2;95,1;6,5;0,8;1,3;1,1;1,4;1,1;0,1;1,0;378.826;5.684.367;95.329;47.448;47.881;15.277;7.765;7.513;85.537;43.064;42.473;4.524;2.324;2.201;;;;;;;;;;;;;;;;;95.082;47.316;47.766;15.553;7.900;7.654;16,4;16,7;16,0;51,29771243;7,26192277;4.321;3.975;9,5;8,6;7,8;8,6;5,1;5,7;9,1;8,3;47.243;47.446;0,88;0,92;0,96;1,03;1,12;1,08;0,93;0,93;4.880;202;460;33;3.500;76;252;22;895;50;239;5;280;4709003O4609011O;1,500;Ri1_ist_NachNK;2.071;611;3;3;24.084;4,09;0,32;2.502.158;23.118;4,07;0,31;2.388.942;71;1.493;4.318;3.424;67;1.492;4.121;3.219;;
5106;5010;Hürth;5;NW;A;1;;8+1;Köln;AS Hürth;N;Saarbrücken;AD Dreieck Erfttal (A61);S;4;433,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;344.935;5.634.211;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50,83880436;6,79765141;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;200;5106032A5106060A;2,706;Ri1_ist_NachNK;495;3.788;2;2;;;;;;;;;;;;;;;;;Datenprobleme in 2022;
5007;5032;Köln-Lövenich;5;NW;A;1;;8+1;Dortmund;AS Köln-Bocklemünd;N;Köln;AS Köln-Lövenich;S;6;421,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;349.037;5.647.212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50,95672279;6,85050020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;230;5007025A5007010A;2,083;Ri1_ist_NachNK;219;3.484;3;3;;;;;;;;;;;;;;;;;Datenprobleme in 2022;
4907;5048;Köln-Nord;5;NW;A;1;;8+1;Dortmund;AS Köln-Niehl;N;Köln;AK Kreuz Köln-Nord (A57);S;6;410,0;181;60;63;58;83.905;40.647;43.259;88.538;42.806;45.732;84.230;40.902;43.328;66.186;32.256;33.929;+11,3;+9,6;+12,4;+18,7;4.132;2.049;2.082;5.037;2.498;2.539;4.350;2.158;2.191;475;237;238;+2,7;+2,1;+5,5;-2,4;4,9;5,7;5,2;0,7;0,95;0,77;1,04;4.755;4,7;978;7,5;5.204;5,1;3.408;2,7;;;;;;;;;;;;;;;;;;D;D;A;B;B;D;8;17;D;8;17;D;8;17;D;8;17;C;;;D;8;15;D;13;;D;15;;C;15;;D;18;;94,0;11,2;0,5;0,8;1,4;3,5;2,9;0,0;0,2;93,4;12,1;0,4;0,8;1,6;4,0;3,4;0,0;0,2;93,7;11,4;0,6;1,0;1,5;3,6;3,1;0,0;0,1;98,1;6,4;0,8;1,1;0,2;0,5;0,4;0,0;0,2;353.495;5.652.817;90.554;43.751;46.803;5.631;2.788;2.843;72.471;35.443;37.027;1.156;596;560;;;;;;;;;;;;;;;;;91.474;44.174;47.299;5.737;2.840;2.897;6,3;6,4;6,1;51,00823915;6,91165795;3.540;4.136;8,7;9,6;5,0;3,6;3,4;2,7;8,0;8,7;45.267;47.876;0,76;0,78;0,96;0,99;1,03;1,06;0,82;0,82;4.913;78;187;26;3.299;28;65;16;902;22;51;3;240;5007002A4907037A;1,926;Ri1_ist_NachNK;2.035;545;3;3;8.267;4,03;0,31;849.778;8.360;4,01;0,31;856.927;9;589;1.452;1.231;10;614;1.459;1.243;;
3812;5118;Ladbergen;5;NW;A;1;;8+1;Bremen;AS Lengerich;N;Münster;AS Ladbergen;S;4;43,1;255;151;67;37;57.811;29.261;28.550;56.605;28.806;27.799;61.518;31.171;30.347;57.700;28.580;29.120;+3,3;+3,3;-0,2;+8,4;11.104;5.615;5.489;13.315;6.727;6.588;11.641;5.899;5.742;2.170;1.105;1.065;-5,8;-5,7;-6,1;-5,2;19,2;23,5;18,9;3,8;1,09;1,03;1,16;3.208;16,6;810;39,8;3.478;17,1;2.397;14,6;;;;;;;;;;;;;;;;;;C;D;E;D;D;C;;;C;;;C;;;C;;;C;;;E;15;;B;12;;D;14;;B;13;;C;16;;77,6;7,1;0,2;1,7;3,0;15,8;12,5;0,4;1,4;73,5;7,7;0,1;1,6;3,5;19,6;15,5;0,4;1,4;77,7;7,0;0,2;2,0;3,0;15,5;12,3;0,4;1,4;92,7;4,9;0,3;2,0;1,2;2,2;1,8;0,3;1,6;414.080;5.779.392;58.394;29.627;28.767;14.630;7.377;7.253;55.118;28.285;26.833;4.494;2.366;2.129;;;;;;;;;;;;;;;;;57.414;29.178;28.236;14.887;7.504;7.383;25,9;25,7;26,1;52,15833030;7,74398143;2.965;2.917;10,1;10,2;5,6;2,5;3,7;0,8;10,2;10,3;28.852;27.763;1,00;1,06;0,98;0,99;1,19;1,13;0,96;0,94;2.877;120;473;8;2.042;61;291;4;487;34;288;1;370;3812015O3712041O;1,593;Ri1_ist_NachNK;1.639;170;2;2;24.347;4,34;0,33;2.927.524;23.750;4,33;0,33;2.860.496;102;876;4.637;3.663;122;859;4.508;3.581;;
3713;5143;Lotte;5;NW;A;1;;8+1;Bremen;AS Osnabrück-Hafen;N;Münster;AK Kreuz Lotte/Osnabrück (A30);S;4;227,7;89;61;15;13;62.933;32.251;30.682;62.959;32.351;30.608;65.131;33.112;32.018;60.099;30.804;29.294;+0,2;+0,6;-4,9;+6,3;14.612;7.346;7.266;17.599;8.840;8.759;15.425;7.795;7.631;2.432;1.202;1.230;-5,5;-5,5;-3,5;-17,7;23,2;28,0;23,7;4,0;1,03;0,97;1,14;3.459;20,4;948;43,8;3.741;21,1;2.615;17,5;;;;;;;;;;;;;;;;;;C;C;D;D;D;C;;;C;;;C;;;C;;;C;;;C;;;B;11;;D;14;;B;12;;C;15;;74,7;10,0;0,3;2,1;2,8;20,3;16,9;0,2;0,0;70,1;10,4;0,2;1,9;3,2;24,5;20,5;0,2;0,0;73,9;10,6;0,3;2,4;2,8;20,7;17,3;0,2;0,0;93,7;7,7;0,3;2,3;0,8;3,0;2,7;0,2;0,0;427.431;5.792.881;64.386;32.838;31.548;19.357;9.694;9.663;59.218;31.102;28.116;5.903;3.173;2.730;;;;;;;;;;;;;;;;;64.061;32.769;31.292;19.679;9.847;9.832;30,7;30,0;31,4;52,28149925;7,93622592;2.907;2.946;9,0;9,6;5,6;2,6;5,0;1,6;8,9;9,4;32.696;31.242;0,97;0,98;0,99;0,98;1,15;1,12;0,95;0,89;2.942;116;672;10;2.151;48;409;6;531;32;383;2;380;3713038A3713041O;1,602;Ri1_ist_NachNK;1.025;4.298;2;2;32.845;4,47;0,33;4.011.403;32.427;4,46;0,33;3.957.604;51;865;6.430;5.371;56;872;6.337;5.285;;
5406;5047;Nettersheim;5;NW;A;1;;8+1;Köln;AS Nettersheim;N;Saarbrücken;AS Blankenheim (B51);S;4;474,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;334.787;5.596.023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50,49285687;6,67070273;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;160;5506030A5406040A;3,733;Ri1_ist_NachNK;1.998;3.880;2;2;;;;;;;;;;;;;;;;;Datenprobleme in 2022;
4809;5011;Schloss Burg;5;NW;A;1;;8+1;Dortmund;AS Wermelskirchen;N;Köln;AS Burscheid;S;6;387,4;119;78;35;6;83.237;41.859;41.377;83.672;42.059;41.613;84.590;42.862;41.728;79.924;39.864;40.060;+15,2;+14,7;+13,2;+20,1;9.141;4.721;4.420;10.991;5.652;5.339;9.486;4.906;4.580;1.795;1.013;783;+11,1;+10,1;+14,4;+14,4;11,0;13,1;11,2;2,2;1,01;0,99;1,12;4.658;9,5;1.089;23,6;5.018;10,0;3.579;7,6;;;;;;;;;;;;;;;;;;D;D;B;D;D;D;8;17;G;8;;E;17;;D;8;17;E;16;;C;;;D;13;;D;14;;D;18;;D;18;;87,9;10,5;0,4;1,1;2,0;8,9;7,1;0,1;0,0;85,8;11,4;0,3;1,1;2,3;10,7;8,6;0,1;0,0;87,5;10,6;0,4;1,3;2,0;9,1;7,3;0,1;0,0;96,5;6,5;0,6;1,2;0,6;1,6;1,3;0,1;0,0;372.170;5.665.205;84.800;42.710;42.089;12.042;6.187;5.855;79.548;40.077;39.472;3.698;1.967;1.732;;;;;;;;;;;;;;;;;84.647;42.568;42.078;12.287;6.306;5.981;14,5;14,8;14,2;51,12403353;7,17333592;3.935;3.701;9,4;8,9;7,5;1,1;6,1;0,6;9,2;8,8;42.132;41.265;0,97;1,01;0,97;1,05;1,15;1,10;0,98;0,97;4.497;108;391;21;3.292;42;231;13;830;32;225;3;270;4908083A4809012A;5,678;Ri1_ist_NachNK;895;4.148;3;3;20.300;4,3;0,33;2.174.899;18.980;4,29;0,33;2.032.781;45;840;3.836;3.064;43;796;3.581;2.873;;
4411;5144;Unna;5;NW;A;1;;8+1;Münster;AS Kamen-Zentrum;N;Köln;AS Unna (B1);S;6;321,6;180;119;32;29;104.737;53.080;51.656;105.933;53.992;51.941;107.726;54.602;53.124;96.540;47.779;48.762;+2,9;+3,9;-3,2;+8,3;16.162;8.388;7.774;19.564;10.199;9.365;16.937;8.729;8.208;2.480;1.194;1.286;-5,9;-5,5;-6,8;-9,8;15,4;18,5;15,7;2,6;1,02;0,94;1,14;5.807;13,2;1.479;33,0;6.278;13,6;4.392;11,3;;;;;;;;;;;;;;;;;;D;D;B;D;D;C;;;C;;;C;;;C;;;C;;;C;;;B;12;;D;14;;C;14;;C;15;;83,1;9,6;0,3;1,4;2,3;13,0;10,5;0,2;0,0;80,2;10,2;0,3;1,3;2,7;15,6;12,6;0,2;0,0;82,7;9,8;0,4;1,6;2,3;13,2;10,7;0,1;0,0;95,7;7,1;0,5;1,7;0,7;1,8;1,5;0,1;0,0;407.358;5.711.974;107.742;54.857;52.885;21.464;11.146;10.318;99.789;50.692;49.097;6.518;3.459;3.058;;;;;;;;;;;;;;;;;107.258;54.695;52.563;21.862;11.383;10.479;20,4;20,8;19,9;51,55124562;7,66382597;4.553;4.523;8,6;8,8;1,8;1,6;0,9;0,8;8,3;8,6;53.548;51.377;0,91;0,98;1,01;1,04;1,11;1,17;0,94;0,98;5.401;158;698;22;3.881;64;433;14;988;53;434;3;320;4411025A4412044A;2,770;Ri1_ist_NachNK;3.048;3.937;3;3;36.700;4,38;0,33;3.977.028;34.004;4,37;0,33;3.689.802;77;1.257;7.053;5.694;84;1.163;6.527;5.308;;
4312;5145;Altenbögge;5;NW;A;2;;8+1;Hannover;AS Bönen;O;Dortmund;AK Kamener Kreuz (A1);W;6;407,4;326;197;72;57;90.037;45.488;44.549;93.189;47.460;45.728;91.174;46.370;44.803;76.841;37.017;39.824;;;;;19.796;10.051;9.745;24.017;12.243;11.775;20.570;10.405;10.165;3.055;1.421;1.634;;;;;22,0;25,8;22,6;4,0;0,98;0,85;1,08;4.927;19,9;1.400;36,8;5.345;20,8;3.673;16,0;;;;;;;;;;;;;;;;;;D;D;B;B;B;C;;;C;;;C;;;C;;;C;;;E;16;;A;;;D;13;;D;18;;D;17;;75,4;8,4;0,5;1,2;3,5;18,3;14,9;0,2;1,4;71,7;8,8;0,4;1,1;3,9;21,7;17,6;0,2;1,4;74,7;8,3;0,5;1,3;3,6;18,8;15,2;0,2;1,4;93,3;6,6;0,6;1,4;1,4;2,4;2,0;0,2;1,3;411.507;5.717.747;95.465;48.645;46.819;26.287;13.398;12.888;79.214;40.126;39.088;7.980;3.956;4.024;;;;;;;;;;;;;;;;;95.800;48.822;46.977;26.851;13.708;13.143;28,0;28,1;28,0;51,60379859;7,72218272;4.092;4.081;9,0;9,2;17,3;14,1;14,2;10,7;8,4;8,7;48.691;47.329;0,82;0,89;0,95;0,98;1,10;1,07;0,87;0,88;4.208;203;908;26;3.068;90;496;19;879;65;450;6;80;4312094O4312017O;1,000;Ri1_ist_VonNK;4.743;2.403;3;3;43.822;4,36;0,33;4.742.208;42.383;4,35;0,33;4.579.208;93;1.573;8.385;6.837;99;1.551;8.095;6.543;;
3719;5123;Bad Oeynhausen;5;NW;A;2;;5+1;Hannover;AS Porta Westfalica;O;Dortmund;AK Kreuz Bad Oeynhausen (A30);W;6;296,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;490.382;5.784.468;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;52,21056627;8,85923951;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;180;3719119B3818088B;0,448;Ri1_ist_VonNK;1.514;4.352;3;3;;;;;;;;;;;;;;;;;Datenprobleme in 2022;
4017;5120;Bielefeld;5;NW;A;2;;5+1;Hannover;AS Bielefeld-Sennestadt;O;Dortmund;AK Kreuz Bielefeld (A33);W;6;447,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;469.639;5.755.478;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;51,94917628;8,55824098;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;150;4017034A4017076A;1,067;Ri1_ist_VonNK;2.407;466;3;3;;;;;;;;;;;;;;;;;Datenprobleme in 2022;
3818;5156;Borstenbach;5;NW;A;2;;5+1;Hannover;AK Bad Oeynhausen (A30);O;Dortmund;AS Vlotho-West;W;6;302,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;487.313;5.779.794;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;52,16847975;8,81449719;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;170;3818088O3818048O;4,500;Ri1_ist_VonNK;3.395;1.511;3;3;;;;;;;;;;;;;;;;;Datenprobleme in 2022;
4213;5175;Brunsberg;5;NW;A;2;;5+1;Hannover;AS Beckum;O;Dortmund;AS Hamm-Uentrop;W;6;380,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;430.505;5.733.293;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;51,74622796;7,99336200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;110;4214015O4313005O;4,000;Ri1_ist_VonNK;4.221;421;3;3;;;;;;;;;;;;;;;;;Datenprobleme in 2022;
3917;5155;Brönninghausen;5;NW;A;2;;8+1;Hannover;AS Ostwestfalen/Lippe;O;Dortmund;AS Bielefeld-Ost;W;6;327,0;130;77;35;18;89.728;44.617;45.110;92.200;46.251;45.949;91.463;45.663;45.800;78.323;37.206;41.117;+5,3;+6,1;-0,5;+11,0;18.454;9.063;9.392;22.360;11.036;11.324;19.103;9.323;9.779;3.050;1.363;1.687;+0,3;+0,8;-0,8;-5,3;20,6;24,3;20,9;3,9;0,99;0,85;1,12;4.955;18,3;1.307;37,4;5.393;19,0;3.639;15,5;;;;;;;;;;;;;;;;;;D;D;B;B;B;C;;;G;8;;C;;;D;8;17;E;15;;D;8;16;A;;;D;13;;C;14;;C;17;;75,3;9,3;0,2;1,7;3,7;16,5;13,3;0,4;2,5;71,7;9,6;0,1;1,6;4,2;19,7;15,8;0,4;2,4;74,9;9,7;0,2;1,8;3,8;16,8;13,5;0,3;2,5;91,5;7,2;0,3;2,0;1,5;2,1;1,8;0,3;2,7;474.300;5.761.838;94.864;47.469;47.395;24.391;11.987;12.405;78.213;39.489;38.724;7.753;3.924;3.829;;;;;;;;;;;;;;;;;94.923;47.573;47.349;24.928;12.283;12.644;26,3;25,8;26,7;52,00659136;8,62558463;4.142;4.113;9,3;9,1;14,3;14,0;11,2;10,6;8,7;8,7;47.495;47.113;0,80;0,89;0,94;1,02;1,15;1,09;0,86;0,85;4.358;220;804;11;3.070;110;452;7;817;70;419;1;160;3917124O4017072O;7,100;Ri1_ist_VonNK;3.329;1.438;3;3;38.786;4,28;0,33;4.164.107;40.161;4,28;0,33;4.315.562;145;1.638;7.279;5.874;181;1.680;7.531;6.021;;
4312;5148;Bönen;5;NW;A;2;;8+1;Hannover;AS Hamm;O;Dortmund;AS Bönen;W;6;404,1;299;206;41;52;86.027;43.223;42.804;88.361;44.802;43.559;86.809;43.844;42.964;76.329;36.546;39.783;;;;;18.514;9.374;9.140;22.522;11.475;11.047;19.014;9.511;9.503;2.912;1.350;1.562;;;;;21,5;25,5;21,9;3,8;0,98;0,90;1,10;4.725;19,4;1.304;37,2;5.115;20,3;3.554;15,5;;;;;;;;;;;;;;;;;;D;D;B;B;D;C;;;C;;;C;;;C;;;C;;;E;16;;A;;;D;14;;D;18;;D;17;;75,0;7,5;0,2;1,4;3,4;17,7;14,7;0,5;2,1;71,1;8,0;0,1;1,3;3,8;21,2;17,6;0,5;2,0;74,4;7,7;0,2;1,6;3,4;18,1;15,0;0,5;2,1;92,3;5,5;0,3;1,6;1,3;2,2;1,9;0,3;2,3;415.297;5.719.037;90.108;45.669;44.439;24.552;12.476;12.075;77.623;39.198;38.425;7.558;3.751;3.806;;;;;;;;;;;;;;;;;90.389;45.862;44.526;25.169;12.845;12.325;27,8;28,0;27,7;51,61597798;7,77659085;3.971;3.985;9,2;9,3;15,4;2,3;12,7;0,8;8,7;8,9;45.652;44.913;0,86;0,94;0,95;0,99;1,12;1,07;0,91;0,91;4.069;198;838;10;2.998;96;455;6;817;67;419;1;90;4313016O4312094O;4,500;Ri1_ist_VonNK;3.258;1.351;3;3;40.754;4,35;0,33;4.431.403;39.543;4,33;0,33;4.308.285;159;1.464;7.750;6.452;233;1.434;7.473;6.187;;
4408;5122;Gelsenkirchen;5;NW;A;2;;5+1;Dortmund;AS Kreuz Recklinghausen (A43);O;AK Oberh. (A3/A516);AS Herten;W;6;449,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;372.581;5.715.511;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;51,57624496;7,16118750;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40;4409124A4408119A;2,117;Ri1_ist_VonNK;3.177;1.259;3;3;;;;;;;;;;;;;;;;;Datenprobleme in 2022;
